"coachID","year","tmID","lgID","won","lost"
"bayloel01","1978","NOJ","NBA","26","56"
"brownhu01","1978","ATL","NBA","46","36"
"brownla01","1978","DEN","NBA","28","25"
"costela01","1978","CHI","NBA","20","36"
"cowenda01","1978","BOS","NBA","27","41"
"cunnibi01","1978","PHI","NBA","47","35"
"fitchbi01","1978","CLE","NBA","30","52"
"fitzsco01","1978","KCK","NBA","48","34"
"holzmre01","1978","NYK","NBA","25","43"
"leonasl01","1978","IND","NBA","38","44"
"loughke01","1978","NJN","NBA","37","45"
"maclejo01","1978","PHO","NBA","50","32"
"moedo01","1978","SAS","NBA","48","34"
"mottadi01","1978","WSB","NBA","54","28"
"nelsodo01","1978","MIL","NBA","38","44"
"nissato01","1978","HOU","NBA","47","35"
"ramsaja01","1978","POR","NBA","45","37"
"reedwi01","1978","NYK","NBA","6","8"
"robersc01","1978","CHI","NBA","11","15"
"sandeto01","1978","BOS","NBA","2","12"
"shuege01","1978","SDC","NBA","43","39"
"vitaldi01","1978","DET","NBA","30","52"
"walshdo01","1978","DEN","NBA","19","10"
"westje01","1978","LAL","NBA","47","35"
"wilkele01","1978","SEA","NBA","52","30"
"adubari01","1979","DET","NBA","12","58"
"albecst01","1979","CLE","NBA","37","45"
"attleal01","1979","GSW","NBA","18","43"
"bachjo01","1979","GSW","NBA","6","15"
"bassbo01","1979","SAS","NBA","8","8"
